Category,Subcategory,subcategory_description_de
krankheit,psychotherapie_SGBVI,Psychotherapie (gesetzliche Rentenversicherung)
rente,psychotherapie_SGBVI,Psychotherapie (gesetzliche Rentenversicherung)
krankheit,hilfsmittel_SGBVI,Hilfsmittel (gesetzliche Rentenversicherung)
rente,hilfsmittel_SGBVI,Hilfsmittel (gesetzliche Rentenversicherung)
krankheit,digitale_gesundheitsanwendungen_SGBVI,Digitale Gesundheitsanwendungen (gesetzliche Rentenversicherung)
rente,digitale_gesundheitsanwendungen_SGBVI,Digitale Gesundheitsanwendungen (gesetzliche Rentenversicherung)
krankheit,belastungserprobung_arbeitstherapie_SGBVI,Belastungserprobung und Arbeitstherapie (gesetzliche Rentenversicherung)
rente,belastungserprobung_arbeitstherapie_SGBVI,Belastungserprobung und Arbeitstherapie (gesetzliche Rentenversicherung)
krankheit,sonstige_medizinische_reha_SGBVI,Sonstige gesundheitliche Leistungen / medizinische Rehabilitation (gesetzliche Rentenversicherung)
rente,sonstige_medizinische_reha_SGBVI,Sonstige gesundheitliche Leistungen / medizinische Rehabilitation (gesetzliche Rentenversicherung)
rente,regelaltersrente_SGBVI,Regelaltersrente (gesetzliche Rentenversicherung)
rente,altersrente_langjaehrige_SGBVI,Altersrente für langjährig Versicherte (gesetzliche Rentenversicherung)
rente,altersrente_schwerbehinderte_SGBVI,Altersrente für schwerbehinderte Menschen (gesetzliche Rentenversicherung)
behinderung,altersrente_schwerbehinderte_SGBVI,Altersrente für schwerbehinderte Menschen (gesetzliche Rentenversicherung)
rente,altersrente_besonders_langjaehrige_SGBVI,Altersrente für besonders langjährig Versicherte (gesetzliche Rentenversicherung)
rente,altersrente_bergleute_SGBVI,Altersrente für langjährig unter Tage beschäftigte Bergleute (gesetzliche Rentenversicherung)
rente,rente_teil_erwerbsminderung_SGBVI,Rente wegen teilweiser Erwerbsminderung (gesetzliche Rentenversicherung)
arbeit,rente_teil_erwerbsminderung_SGBVI,Rente wegen teilweiser Erwerbsminderung (gesetzliche Rentenversicherung)
krankheit,rente_teil_erwerbsminderung_SGBVI,Rente wegen teilweiser Erwerbsminderung (gesetzliche Rentenversicherung)
rente,rente_volle_erwerbsminderung_SGBVI,Rente wegen voller Erwerbsminderung (gesetzliche Rentenversicherung)
arbeit,rente_volle_erwerbsminderung_SGBVI,Rente wegen voller Erwerbsminderung (gesetzliche Rentenversicherung)
